Título de la pista,Artista
Fine Day,Dinamarca
01 Missy Riddim,CHAMOS x Aizen Sama
02 Git Low Riddim (CHAMOS 'Feels Right' Mix),FS Green & Tera Kòrá
04 Soundgasm (CHAMOS Edit),Rema
05 I Don't Like (CHAMOS x Jengi Edit),Chief Keef
06 Poison (CHAMOS x Dave Nunes Edit),Bell Biv Devoe
08 Wiley Flow (CHAMOS UK Tribute),Stormzy
09 Act Up (CHAMOS 'Feels Right' Mix),Stinhow x CHAMOS
In Da Getto [Alex Contreras PRO IO],"127. J Balvin, Skrillex"
ACRAZE - Do It To It (Sico Vox & LPACA Edit),Sico Vox & LPACA
O O O,Chungo
CIDRA,D'Cantwo Jr.
JOY WITH ME,DJ LAWY
Swervin',DJ Polo
Ingxolo (Ayonto Yam),Dlala Lazz
Body Count,Frenna
The Office,Gafacci
Amagroove,Gina Jeanz
Tropics,Hagan
Waves,Hagan
OH BOY! (FINAL),Hyalyte & Marco Pedro
Sensei,Karen Nyame KG
Moneyca,Kilate Tesla
Lapdance (Hyalyte Edit),
Major Lazer x J Balvin & Maria Becerra - Que Más Pues (Nolo Aguilar Private 'Bumaye' Radio Mix),
Sola,Sangre Nueva
Mafro 2.0,Soul Faya
Shy guy (Afro edit),Soulely
"The Kid LAROI, Justin Bieber - STAY (Sico Vox & Brad Braxton Remix)",Sico Vox & Brad Braxton
Kuribotas,Tia Maria Produções
